Consulente Tirana,Nuove Anagrafiche,Primo reminder,Ultimo reminder,Totale aperte (*),"Stato ""Nuova Anagrafica""",Riceve Anagrafiche
Al*********co,10,31/12/2021,"Gio 04 Lug, 13:00",549,14,NO
Am***********le,13,"Lun 10 Gen, 09:30","Gio 04 Lug, 14:16",171,16,SI
An************na,5,"Lun 10 Gen, 09:30","Ven 05 Lug, 10:00",61,7,NO
Ar**************ta,0,04/11/2020,"Gio 04 Lug, 14:16",59,2,SI
Ar*******ia,1,"Lun 10 Gen, 09:30","Mer 03 Lug, 18:20",106,10,SI
Ar**************ca,0,04/11/2020,"Mer 03 Lug, 18:20",707,3,NO
Ar*********ia,4,"07 Set 2023, 15:18","Mar 02 Lug, 17:45",696,7,NO
Au**********************te,13,"07 Set 2023, 15:18","Ven 05 Lug, 10:00",45,13,NO
Be************no,17,"Mar 26 Mar, 15:00","Gio 04 Lug, 13:00",591,27,SI
Bo********ce,7,15/05/2022,"Ven 05 Lug, 10:00",546,12,NO
Bu************ta,12,"Mar 26 Mar, 15:00","Gio 04 Lug, 13:00",949,17,NO
Ca*************co,3,"20 Feb 2023, 20:53","Mar 02 Lug, 17:45",1019,10,SI
Ca***********ne,8,"Mar 26 Mar, 15:00","Gio 04 Lug, 13:00",462,10,NO
Ca*********mi,18,04/11/2020,"Mar 02 Lug, 17:45",907,22,SI
Ca******ra,1,"20 Feb 2023, 20:53","Ven 05 Lug, 10:00",571,5,NO
Ca********to,9,15/05/2022,"Ven 05 Lug, 10:00",27,10,NO
Ce********da,8,15/05/2022,"Ven 05 Lug, 10:00",1470,10,SI
Ch*********da,15,04/11/2020,"Mer 03 Lug, 18:20",680,18,SI
Co********la,16,"Mar 26 Mar, 15:00","Mar 02 Lug, 17:45",1386,26,NO
Co**************ta,20,31/12/2021,"Mar 02 Lug, 17:45",130,30,SI
