consulente_id;assegnatario_id;anagrafica_list
14056;80667;16987338_35153790
14286;80705;16981734_35148618
80730;80705;16975452_35142096
14165;80618;16979499_35145408
14165;80618;10313115_35141571
14056;80667;16987338_35153790
10112;80710;16898391_35060469
80730;80705;12800760_35113158
80731;14210;16963491_35131032
80706;80705;16983699_35150532
80705;14286;10207029_35154648
10103;10109;16973775_35140077
14286;80705;4870170_35123265
80626;80697;7919792_35154519
80667;21364;16988523_35155053
80696;80617;9801357_35156172
